Hidden Gem Score,IMDb Votes,Rotten Tomatoes Score,Metacritic Score,IMDb Score,Genre
5,5067.0,0.0,0.0,52.0,836.0
8,2550.0,0.0,0.0,52.0,1019.0
6,3320.0,59.0,0.0,41.0,836.0
8,5243.0,0.0,0.0,49.0,865.0
1,2524.0,0.0,28.0,14.0,1191.0
3,5760.0,84.0,67.0,53.0,307.0
2,879.0,22.0,31.0,46.0,1214.0
2,2180.0,42.0,38.0,46.0,668.0
6,3655.0,0.0,0.0,42.0,836.0
2,684.0,45.0,0.0,35.0,92.0
3,4133.0,62.0,56.0,55.0,383.0
3,1806.0,70.0,46.0,41.0,1197.0
7,2817.0,0.0,0.0,49.0,958.0
8,3527.0,81.0,0.0,48.0,1054.0
2,4368.0,56.0,38.0,46.0,865.0
7,2693.0,0.0,0.0,60.0,471.0
1,5818.0,36.0,9.0,18.0,836.0
8,5192.0,95.0,71.0,44.0,772.0
3,5586.0,65.0,50.0,33.0,1261.0
3,5462.0,60.0,44.0,43.0,1062.0
5,4685.0,65.0,58.0,39.0,1174.0
7,3831.0,51.0,0.0,27.0,836.0
9,5233.0,0.0,0.0,59.0,1204.0
8,1303.0,92.0,59.0,45.0,1214.0
8,1697.0,0.0,0.0,41.0,1258.0
8,1131.0,0.0,0.0,53.0,971.0
7,2861.0,84.0,61.0,39.0,1119.0
4,4324.0,94.0,79.0,53.0,1040.0
8,4353.0,0.0,0.0,44.0,667.0
8,1473.0,0.0,0.0,47.0,971.0
7,2420.0,0.0,0.0,53.0,1166.0
2,1877.0,0.0,30.0,33.0,958.0
8,5764.0,0.0,0.0,52.0,411.0
8,3527.0,0.0,0.0,43.0,771.0
7,558.0,49.0,0.0,41.0,1119.0
8,1004.0,78.0,0.0,46.0,1119.0
7,1048.0,0.0,0.0,43.0,838.0
6,3468.0,0.0,0.0,52.0,1062.0
3,2657.0,81.0,60.0,45.0,206.0
8,4195.0,73.0,0.0,40.0,864.0
7,2427.0,92.0,61.0,44.0,1097.0
8,2779.0,0.0,0.0,49.0,300.0
8,3920.0,0.0,0.0,50.0,411.0
3,3539.0,60.0,0.0,45.0,836.0
7,5201.0,64.0,0.0,39.0,901.0
2,3369.0,54.0,53.0,33.0,958.0
2,186.0,22.0,35.0,35.0,901.0
4,5562.0,0.0,0.0,61.0,655.0
2,812.0,18.0,37.0,30.0,958.0
3,415.0,0.0,0.0,48.0,201.0
7,775.0,71.0,0.0,45.0,1259.0
2,585.0,44.0,0.0,25.0,60.0
8,5367.0,0.0,0.0,50.0,593.0
1,857.0,6.0,0.0,28.0,1264.0
4,113.0,4.0,88.0,57.0,1118.0
3,4488.0,0.0,0.0,42.0,999.0
1,4167.0,15.0,16.0,19.0,277.0
3,846.0,62.0,0.0,43.0,218.0
8,5272.0,0.0,0.0,58.0,836.0
3,2719.0,86.0,62.0,42.0,1227.0
2,3049.0,39.0,36.0,40.0,117.0
5,4386.0,0.0,0.0,45.0,836.0
8,3353.0,0.0,0.0,41.0,746.0
8,1952.0,96.0,0.0,50.0,509.0
7,1043.0,40.0,0.0,44.0,539.0
8,5110.0,0.0,0.0,46.0,971.0
6,2812.0,64.0,0.0,41.0,29.0
6,3814.0,76.0,0.0,45.0,369.0
2,2595.0,44.0,54.0,28.0,1186.0
4,5303.0,73.0,57.0,44.0,901.0
4,3839.0,92.0,65.0,50.0,814.0
7,267.0,53.0,0.0,41.0,1279.0
4,3398.0,100.0,84.0,53.0,1240.0
3,1759.0,71.0,53.0,48.0,1225.0
8,5601.0,0.0,0.0,42.0,729.0
7,2844.0,78.0,0.0,38.0,836.0
2,4528.0,64.0,44.0,34.0,1264.0
4,5773.0,96.0,69.0,47.0,895.0
7,1949.0,0.0,0.0,50.0,836.0
2,5198.0,44.0,46.0,41.0,112.0
8,4997.0,0.0,0.0,41.0,677.0
3,1561.0,54.0,53.0,41.0,586.0
2,4506.0,39.0,40.0,42.0,971.0
8,894.0,82.0,0.0,46.0,218.0
8,2132.0,0.0,0.0,43.0,1124.0
3,2589.0,76.0,58.0,51.0,1200.0
4,2056.0,0.0,0.0,54.0,865.0
2,741.0,21.0,30.0,35.0,958.0
7,2135.0,71.0,0.0,41.0,137.0
8,4858.0,90.0,0.0,34.0,1001.0
1,2752.0,1.0,18.0,30.0,912.0
8,5472.0,0.0,0.0,61.0,449.0
2,5585.0,44.0,47.0,39.0,1159.0
2,3584.0,55.0,30.0,41.0,873.0
7,1424.0,0.0,0.0,43.0,292.0
1,4266.0,3.0,14.0,33.0,877.0
